"","campaign","name","keywords","",""
"89","SEM_Campaign","Kapunga Thin Rice","+low +effort +kapunga +thin +rice","Broad","Low Effort"
"90","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice quality delicious","Exact","Quality;Delicious"
"91","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice quality delicious","Phrase","Quality;Delicious"
"92","SEM_Campaign","Kapunga Thin Rice","+kapunga +thin +rice +quality +delicious","Broad","Quality;Delicious"
"93","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice quality low effort","Exact","Quality;Low Effort"
"94","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice quality low effort","Phrase","Quality;Low Effort"
"95","SEM_Campaign","Kapunga Thin Rice","+kapunga +thin +rice +quality +low +effort","Broad","Quality;Low Effort"
"96","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice delicious quality","Exact","Delicious;Quality"
"97","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice delicious quality","Phrase","Delicious;Quality"
"98","SEM_Campaign","Kapunga Thin Rice","+kapunga +thin +rice +delicious +quality","Broad","Delicious;Quality"
"99","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice delicious low effort","Exact","Delicious;Low Effort"
"100","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice delicious low effort","Phrase","Delicious;Low Effort"
"101","SEM_Campaign","Kapunga Thin Rice","+kapunga +thin +rice +delicious +low +effort","Broad","Delicious;Low Effort"
"102","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice low effort quality","Exact","Low Effort;Quality"
"103","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice low effort quality","Phrase","Low Effort;Quality"
"104","SEM_Campaign","Kapunga Thin Rice","+kapunga +thin +rice +low +effort +quality","Broad","Low Effort;Quality"
"105","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice low effort delicious","Exact","Low Effort;Delicious"
"106","SEM_Campaign","Kapunga Thin Rice","kapunga thin rice low effort delicious","Phrase","Low Effort;Delicious"
"107","SEM_Campaign","Kapunga Thin Rice","+kapunga +thin +rice +low +effort +delicious","Broad","Low Effort;Delicious"
"108","SEM_Campaign","Kapunga Thin Rice","quality kapunga thin rice delicious","Exact","Quality;Delicious"
"109","SEM_Campaign","Kapunga Thin Rice","quality kapunga thin rice delicious","Phrase","Quality;Delicious"
"110","SEM_Campaign","Kapunga Thin Rice","+quality +kapunga +thin +rice +delicious","Broad","Quality;Delicious"
"111","SEM_Campaign","Kapunga Thin Rice","quality kapunga thin rice low effort","Exact","Quality;Low Effort"
"112","SEM_Campaign","Kapunga Thin Rice","quality kapunga thin rice low effort","Phrase","Quality;Low Effort"
